file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
utt_en000_00000000_0001,0.0,30.48,00000000,-61.71523847604987,-63.163130623953684,12.487503005137546,2.3295702822326394
utt_en000_00000000_0019,0.0,8.0,00000000,-59.4321484375,-61.26779294993779,5.793592220536425,4.543924359683612
utt_en000_00000000_0006,0.0,4.0,00000000,-61.9618408203125,-61.02844456263951,5.602962924607464,2.498779546400323
utt_en000_00000000_0015,0.0,7.62,00000000,-60.55088377624672,-62.29610270123149,5.40596320229467,5.223921450962363
utt_en000_00000000_0004,0.0,34.98,00000000,-59.77883344053745,-62.54008072525708,5.382366936686905,2.7308086865936723
utt_en000_00000000_0012,0.0,12.28,00000000,-59.82163578990228,-61.70656125298862,4.787137264313913,2.2880892983408287
utt_en000_00000000_0002,0.0,39.48,00000000,-62.105480623100306,-61.3059182721515,4.501157142855943,0.8673067153826821
utt_en000_00000000_0005,0.0,26.68,00000000,-61.97437218890555,-65.70790025096828,4.1323879969300865,13.675195124444441
utt_en000_00000000_0010,0.0,11.3,00000000,-61.16958655973451,-62.714699908665246,4.126327056827902,3.640529465301924
utt_en000_00000000_0007,0.0,6.0,00000000,-59.357109375,-61.3122751959439,3.858155582150005,1.566904132006214
utt_en000_00000000_0017,0.0,6.0,00000000,-60.75142578125,-61.46656483968099,3.5536641241156333,4.34396148991671
utt_en000_00000000_0009,0.0,37.5,00000000,-61.02109166666666,-61.106265874379694,3.4992102207154443,2.105469066925173
utt_en000_00000000_0003,0.0,6.0,00000000,-59.98783203125,-66.64324676990509,2.3480336886535653,12.881010495488777
utt_en000_00000000_0014,0.0,6.16,00000000,-61.890282568993506,-64.7222289048232,2.088773010957611,13.430919541378557
utt_en000_00000000_0000,0.0,5.54,00000000,-63.415782942238266,-63.671180595785884,2.0501155179733552,-1.1385685824786762
utt_en000_00000000_0013,0.0,3.18,00000000,-60.514973958333336,-62.679137385168744,1.9716503180750893,8.441118747006906
utt_en000_00000000_0011,0.0,0.84,00000000,-60.80544898623512,-60.63335914611817,1.8814083656541076,-1.0970011982412045
utt_en000_00000000_0008,0.0,3.94,00000000,-61.09066664022843,-61.02906062386253,1.8058902835222435,17.191808333837578
utt_en000_00000000_0018,0.0,2.0,00000000,-57.3519580078125,-59.880037888236664,1.5058559139453225,9.530215064244572
utt_en000_00000000_0016,0.0,3.96,00000000,-61.8526672979798,-63.28164443969727,1.4856757797377247,1.8187811913198537
